date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:27	19526/19526	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:53%20GMT	http://tavonline.net/html/mat/default/images/works/work-01.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-01.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:28	2178/2178	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2015:28:55%20GMT	http://tavonline.net/html/mat/default/portfolio-detail/work-02.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/portfolio-detail/work-02.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:28	15357/15357	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:53%20GMT	http://tavonline.net/html/mat/default/images/works/work-02.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-02.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:30	18827/18827	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:54%20GMT	http://tavonline.net/html/mat/default/images/works/work-06.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-06.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:30	12772/12772	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:52%20GMT	http://tavonline.net/html/mat/default/images/works/work-03.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-03.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:30	13628/13628	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:53%20GMT	http://tavonline.net/html/mat/default/images/works/work-04.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-04.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:31	14194/14194	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:53%20GMT	http://tavonline.net/html/mat/default/images/works/work-05.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-05.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:31	1493/1493	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2015:28:29%20GMT	http://tavonline.net/html/mat/default/load-more/portfolio.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/load-more/portfolio.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:32	16027/16027	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2015:28:57%20GMT	http://tavonline.net/html/mat/default/blog-posts/blog-1.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/blog-posts/blog-1.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:32	14765/14765	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:54%20GMT	http://tavonline.net/html/mat/default/images/works/work-07.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-07.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:33	198/198	---M--	502	error ('Server%20Hangup')	text/html	date:Thu,%2027%20Dec%202018%2004:49:33%20GMT	http://tavonline.net/html/mat/default/blog-posts/blog-video-version.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/blog-posts/blog-video-version.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:33	16393/16393	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:51%20GMT	http://tavonline.net/html/mat/default/images/works/work-08.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-08.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:33	15303/15303	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:50%20GMT	http://tavonline.net/html/mat/default/images/works/work-09.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/works/work-09.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:33	16237/16237	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2015:28:57%20GMT	http://tavonline.net/html/mat/default/blog-posts/blog-music-version.html	D:/FAJRI/tavonline/tavonline.net/html/mat/default/blog-posts/blog-music-version.html	(from http://tavonline.net/html/mat/default/index.html)
11:49:35	15484/15484	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:07%20GMT	http://tavonline.net/html/mat/default/images/blogs/blog-2.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/blogs/blog-2.jpg	(from http://tavonline.net/html/mat/default/index.html)
11:49:36	18010/18010	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Oct%202018%2015:29:06%20GMT	http://tavonline.net/html/mat/default/images/blogs/blog-3.jpg	D:/FAJRI/tavonline/tavonline.net/html/mat/default/images/blogs/blog-3.jpg	(from http://tavonline.net/html/mat/default/index.html)
